Word: ; amount: 0
Word: special; amount: 1
Word: spices; amount: 1
Word: spirits; amount: 1
Word: started; amount: 1
Word: starting; amount: 1
Word: states’; amount: 1
Word: story; amount: 1
Word: sugar; amount: 1
Word: summer; amount: 1
Word: th-century; amount: 1
Word: that’s; amount: 1
Word: their; amount: 1
Word: then; amount: 1
Word: things; amount: 1
Word: too; amount: 1
Word: treating; amount: 1
Word: tried; amount: 1
Word: turnips; amount: 1
Word: until; amount: 1
Word: vegetables; amount: 1
Word: walk; amount: 1
Word: wear; amount: 1
Word: went; amount: 1
Word: where; amount: 1
Word: who; amount: 1
Word: why; amount: 1
Word: witches; amount: 1
Word: wore; amount: 1
Word: world; amount: 1
Word: years; amount: 1
Word: after; amount: 2
Word: also; amount: 2
Word: became; amount: 2
Word: because; amount: 2
Word: began; amount: 2
Word: cake; amount: 2
Word: carved; amount: 2
Word: celebrates; amount: 2
Word: celebration; amount: 2
Word: celts; amount: 2
Word: century; amount: 2
Word: children; amount: 2
Word: country; amount: 2
Word: dress; amount: 2
Word: earth; amount: 2
Word: end; amount: 2
Word: europe; amount: 2
Word: eve; amount: 2
Word: faces; amount: 2
Word: fancy; amount: 2
Word: first; amount: 2
Word: going; amount: 2
Word: hoped; amount: 2
Word: its; amount: 2
Word: jack; amount: 2
Word: kinds; amount: 2
Word: made; amount: 2
Word: make; amount: 2
Word: met; amount: 2
Word: more; amount: 2
Word: new; amount: 2
Word: october; amount: 2
Word: outside; amount: 2
Word: probably; amount: 2
Word: scary; amount: 2
Word: skin; amount: 2
Word: some; amount: 2
Word: souls; amount: 2
Word: squash; amount: 2
Word: them; amount: 2
Word: treat; amount: 2
Word: were; amount: 2
Word: when; amount: 2
Word: winter; amount: 2
Word: would; amount: 2
Word: are; amount: 3
Word: ask; amount: 3
Word: carve; amount: 3
Word: celebrated; amount: 3
Word: church; amount: 3
Word: come; amount: 3
Word: countries; amount: 3
Word: england; amount: 3
Word: festival; amount: 3
Word: go; amount: 3
Word: harvest; amount: 3
Word: irish; amount: 3
Word: kind; amount: 3
Word: popular; amount: 3
Word: pumpkins; amount: 3
Word: samhain; amount: 3
Word: sweets; amount: 3
Word: today; amount: 3
Word: trick; amount: 3
Word: way; amount: 3
Word: year; amount: 3
Word: about; amount: 4
Word: americans; amount: 4
Word: big; amount: 4
Word: but; amount: 4
Word: came; amount: 4
Word: celtic; amount: 4
Word: from; amount: 4
Word: not; amount: 4
Word: november; amount: 4
Word: one; amount: 4
Word: other; amount: 4
Word: pumpkin; amount: 4
Word: soul; amount: 4
Word: this; amount: 4
Word: traditions; amount: 4
Word: with; amount: 4
Word: you; amount: 4
Word: america; amount: 5
Word: if; amount: 5
Word: like; amount: 5
Word: states; amount: 5
Word: think; amount: 5
Word: time; amount: 5
Word: united; amount: 5
Word: was; amount: 5
Word: that; amount: 6
Word: they; amount: 6
Word: people; amount: 7
Word: day; amount: 9
Word: ghosts; amount: 9
Word: tradition; amount: 9
Word: for; amount: 10
Word: so; amount: 11
Word: be; amount: 15
Word: halloween; amount: 15
Word: is; amount: 15
Word: ad; amount: 18
Word: as; amount: 18
Word: or; amount: 21
Word: to; amount: 22
Word: we; amount: 23
Word: all; amount: 26
Word: on; amount: 26
Word: of; amount: 27
Word: it; amount: 28
Word: and; amount: 31
Word: st; amount: 33
Word: an; amount: 51
Word: in; amount: 53
Word: the; amount: 68
Word: he; amount: 73
Word: th; amount: 94
Word: s; amount: 187
Word: a; amount: 253
